day,date,phase,classification
1,2030-08-01,mobilize,synthetic
2,2030-08-02,mobilize,synthetic
3,2030-08-03,mobilize,synthetic
4,2030-08-04,mobilize,synthetic
5,2030-08-05,mobilize,synthetic
6,2030-08-06,mobilize,synthetic
7,2030-08-07,mobilize,synthetic
8,2030-08-08,foundations,synthetic
9,2030-08-09,foundations,synthetic
10,2030-08-10,foundations,synthetic
11,2030-08-11,foundations,synthetic
12,2030-08-12,foundations,synthetic
13,2030-08-13,foundations,synthetic
14,2030-08-14,foundations,synthetic
15,2030-08-15,foundations,synthetic
16,2030-08-16,foundations,synthetic
17,2030-08-17,foundations,synthetic
18,2030-08-18,foundations,synthetic
19,2030-08-19,foundations,synthetic
20,2030-08-20,foundations,synthetic
21,2030-08-21,foundations,synthetic
22,2030-08-22,foundations,synthetic
23,2030-08-23,foundations,synthetic
24,2030-08-24,foundations,synthetic
25,2030-08-25,foundations,synthetic
26,2030-08-26,foundations,synthetic
27,2030-08-27,foundations,synthetic
28,2030-08-28,foundations,synthetic
29,2030-08-29,foundations,synthetic
30,2030-08-30,foundations,synthetic
31,2030-08-31,foundations,synthetic
32,2030-09-01,foundations,synthetic
33,2030-09-02,foundations,synthetic
34,2030-09-03,foundations,synthetic
35,2030-09-04,foundations,synthetic
36,2030-09-05,foundations,synthetic
37,2030-09-06,foundations,synthetic
38,2030-09-07,foundations,synthetic
39,2030-09-08,foundations,synthetic
40,2030-09-09,foundations,synthetic
41,2030-09-10,foundations,synthetic
42,2030-09-11,foundations,synthetic
43,2030-09-12,foundations,synthetic
44,2030-09-13,foundations,synthetic
45,2030-09-14,foundations,synthetic
46,2030-09-15,foundations,synthetic
47,2030-09-16,foundations,synthetic
48,2030-09-17,foundations,synthetic
49,2030-09-18,foundations,synthetic
50,2030-09-19,build,synthetic
51,2030-09-20,build,synthetic
52,2030-09-21,build,synthetic
53,2030-09-22,build,synthetic
54,2030-09-23,build,synthetic
55,2030-09-24,build,synthetic
56,2030-09-25,build,synthetic
57,2030-09-26,build,synthetic
58,2030-09-27,build,synthetic
59,2030-09-28,build,synthetic
60,2030-09-29,build,synthetic
61,2030-09-30,build,synthetic
62,2030-10-01,build,synthetic
63,2030-10-02,build,synthetic
64,2030-10-03,build,synthetic
65,2030-10-04,build,synthetic
66,2030-10-05,build,synthetic
67,2030-10-06,build,synthetic
68,2030-10-07,build,synthetic
69,2030-10-08,build,synthetic
70,2030-10-09,build,synthetic
71,2030-10-10,build,synthetic
72,2030-10-11,build,synthetic
73,2030-10-12,build,synthetic
74,2030-10-13,build,synthetic
75,2030-10-14,build,synthetic
76,2030-10-15,build,synthetic
77,2030-10-16,build,synthetic
78,2030-10-17,build,synthetic
79,2030-10-18,build,synthetic
80,2030-10-19,build,synthetic
81,2030-10-20,build,synthetic
82,2030-10-21,build,synthetic
83,2030-10-22,build,synthetic
84,2030-10-23,build,synthetic
85,2030-10-24,build,synthetic
86,2030-10-25,build,synthetic
87,2030-10-26,build,synthetic
88,2030-10-27,build,synthetic
89,2030-10-28,build,synthetic
90,2030-10-29,build,synthetic
91,2030-10-30,build,synthetic
92,2030-10-31,build,synthetic
93,2030-11-01,build,synthetic
94,2030-11-02,build,synthetic
95,2030-11-03,build,synthetic
96,2030-11-04,build,synthetic
97,2030-11-05,build,synthetic
98,2030-11-06,build,synthetic
99,2030-11-07,integrate,synthetic
100,2030-11-08,integrate,synthetic
101,2030-11-09,integrate,synthetic
102,2030-11-10,integrate,synthetic
103,2030-11-11,integrate,synthetic
104,2030-11-12,integrate,synthetic
105,2030-11-13,integrate,synthetic
106,2030-11-14,integrate,synthetic
107,2030-11-15,integrate,synthetic
108,2030-11-16,integrate,synthetic
109,2030-11-17,integrate,synthetic
110,2030-11-18,integrate,synthetic
111,2030-11-19,integrate,synthetic
112,2030-11-20,integrate,synthetic
113,2030-11-21,integrate,synthetic
114,2030-11-22,integrate,synthetic
115,2030-11-23,integrate,synthetic
116,2030-11-24,integrate,synthetic
117,2030-11-25,integrate,synthetic
118,2030-11-26,integrate,synthetic
119,2030-11-27,integrate,synthetic
120,2030-11-28,integrate,synthetic
121,2030-11-29,integrate,synthetic
122,2030-11-30,integrate,synthetic
123,2030-12-01,integrate,synthetic
124,2030-12-02,integrate,synthetic
125,2030-12-03,integrate,synthetic
126,2030-12-04,integrate,synthetic
127,2030-12-05,integrate,synthetic
128,2030-12-06,integrate,synthetic
129,2030-12-07,integrate,synthetic
130,2030-12-08,integrate,synthetic
131,2030-12-09,integrate,synthetic
132,2030-12-10,integrate,synthetic
133,2030-12-11,integrate,synthetic
134,2030-12-12,demonstrate,synthetic
135,2030-12-13,demonstrate,synthetic
